Spots,Review,Tema,Region,train,bus,train_minutes_time,bus_minutes_time,train_type,bus_type,best_time
안목해변,390,"해수욕장,해변",강원,기차이용 2시간 15분,버스이용 3시간 23분,135.0,203.0,기차이용,버스이용,135.0
남이섬,1040,섬(내륙),강원,지하철용 2시간 17분,지하철용 2시간 21분,137.0,141.0,지하철용,지하철용,137.0
오죽헌,599,유적지,강원,기차이용 2시간 18분,버스이용 3시간 24분,138.0,204.0,기차이용,버스이용,138.0
속초아이,954,테마파크,강원,기차없음,버스이용 2시간 26분,,146.0,기차없음,버스이용,146.0
하슬라아트월드,1151,테마파크,강원,기차이용 2시간 36분,버스이용 3시간 52분,156.0,232.0,기차이용,버스이용,156.0
운천저수지,51,저수지,광주광역시,기차이용 2시간 23분,버스이용 3시간 52분,143.0,232.0,기차이용,버스이용,143.0
헬로애니멀 광주점,90,실내동물원,광주광역시,기차이용 2시간 32분,버스이용 3시간 49분,152.0,229.0,기차이용,버스이용,152.0
광주솔로몬로파크,107,테마파크,광주광역시,기차이용 2시간 54분,버스이용 4시간 6분,174.0,246.0,기차이용,버스이용,174.0
무등산 리프트&모노레일,105,케이블카,광주광역시,기차이용 2시간 57분,버스이용 4시간 20분,177.0,260.0,기차이용,버스이용,177.0
광주광역시립수목원,138,"수목원,식물원",광주광역시,기차이용 3시간 3분,버스이용 4시간 36분,183.0,276.0,기차이용,버스이용,183.0
스파크랜드,652,테마파크,대구,기차이용 2시간 1분,버스이용 3시간 41분,121.0,221.0,기차이용,버스이용,121.0
김광석다시그리기길,350,테마거리,대구,기차이용 2시간 5분,버스이용 3시간 42분,125.0,222.0,기차이용,버스이용,125.0
대구이월드,301,테마파크,대구,기차이용 2시간 15분,버스이용 3시간 47분,135.0,227.0,기차이용,버스이용,135.0
83타워,445,전망대,대구,기차이용 2시간 18분,버스이용 3시간 48분,138.0,228.0,기차이용,버스이용,138.0
