Region,,Spots,Review,Tema
강원,0,정선가리왕산케이블카 숙암역,228,케이블카
강원,1,철원한탄강 주상절리길,86,"관광,명소"
강원,2,속초아이,954,테마파크
강원,3,강원랜드,49,카지노
강원,4,춘천삼악산호수케이블카,144,케이블카
강원,5,발왕산 관광케이블카,251,케이블카
강원,6,안목해변,390,"해수욕장,해변"
강원,7,레고랜드코리아리조트,1123,테마파크
강원,8,소금산출렁다리,234,"관광,명소"
강원,9,통일전망대,228,전망대
강원,10,선자령,87,산
강원,11,경포해수욕장,130,"해수욕장,해변"
강원,12,경포대,148,문화유적
강원,13,강문해변,91,"해수욕장,해변"
강원,14,정동진해변,117,"해수욕장,해변"
강원,15,오죽헌,599,유적지
강원,16,영금정,810,유적지
강원,17,속초해수욕장,180,"해수욕장,해변"
강원,18,만항재,30,고개
강원,19,낙산해변,50,"해수욕장,해변"
강원,20,도째비골스카이밸리,352,"관광,명소"
강원,21,하슬라아트월드,1151,테마파크
강원,22,소양강스카이워크,369,전망대
강원,23,알파카월드,836,테마파크
강원,24,추암촛대바위,343,바위
강원,25,설악케이블카,716,케이블카
강원,26,비발디파크 오션월드,810,워터테마파크
강원,27,강촌레일파크 김유정레일바이크,87,테마파크
강원,28,경포호,171,호수
강원,29,제이드가든수목원,259,"수목원,식물원"
강원,30,초곡용굴촛대바위길,66,도보여행
강원,31,남이섬,1040,섬(내륙)
강원,32,오대산월정사 전나무숲길,60,도보여행
강원,33,원대리자작나무숲,347,숲
강원,34,고석정,171,문화유적
강원,35,척산온천휴양촌,160,온천
강원,36,하조대,67,"관광,명소"
강원,37,강릉선교장,214,문화유적
강원,38,선자령등산로 입구,15,등산로
강원,39,무릉별유천지,60,"관광,명소"
강원,40,휘닉스평창 블루캐니언,61,워터테마파크
강원,41,삼척가곡유황온천스파,3,온천
강원,42,별마로천문대,242,천문대
강원,43,함백산,51,산
강원,44,명동닭갈비골목,17,먹자골목
강원,45,송정해변,27,"해수욕장,해변"
강원,46,강릉카페거리,124,카페거리
강원,47,설악워터피아,96,워터테마파크
강원,48,정동심곡 바다부채길,54,"관광,명소"
강원,49,외옹치 바다향기로,165,도보여행
강원,50,국립횡성숲체원,71,숲
강원,51,삼척해변,63,"해수욕장,해변"
강원,52,환선굴,118,동굴
강원,53,청령포 단종 유배지,42,유적지
강원,54,아야진해수욕장,79,"해수욕장,해변"
강원,55,맹방해수욕장,38,"해수욕장,해변"
강원,56,도째비골 해랑전망대,144,전망대
강원,57,소금산그랜드밸리,294,관광단지
강원,58,망상해변,46,"해수욕장,해변"
강원,59,주문진해변,32,"해수욕장,해변"
강원,60,국립청태산자연휴양림,46,자연휴양림
강원,61,사근진해변,50,"해수욕장,해변"
강원,62,황지공원 황지연못,33,연못
강원,63,반계리은행나무,75,문화유적
강원,64,직탕폭포,80,폭포
강원,65,태백산,67,산
강원,66,영랑호,201,호수
강원,67,삼척해상케이블카 용화역,99,케이블카
강원,68,화암동굴,140,동굴
강원,69,간현관광지,70,유원지
강원,70,추암해변,34,"해수욕장,해변"
강원,71,고석정국민관광지,44,관광단지
강원,72,주문진방사제,60,"관광,명소"
강원,73,하조대해수욕장,60,"해수욕장,해변"
강원,74,삼부연폭포,87,폭포
경상도,75,경주월드,1026,테마파크
경상도,76,스페이스워크,8,"관광,명소"
경상도,77,동궁과월지,1149,연못
경상도,78,황리단길,1274,카페거리
경상도,79,포항해상스카이워크,124,전망대
경상도,80,연화지,377,저수지
경상도,81,첨성대,780,문화유적
경상도,82,문경새재도립공원,658,도립공원
경상도,83,안동하회마을,106,관광단지
경상도,84,덕구온천스파월드,25,온천
경상도,85,경주보문관광단지,118,관광단지
경상도,86,대릉원,598,"릉,묘,총"
경상도,87,영일대해수욕장,650,"해수욕장,해변"
경상도,88,도산서원,365,서원
경상도,89,호미곶,222,"관광,명소"
경상도,90,경주 양동마을,199,문화유적
경상도,91,월정교,593,문화유적
경상도,92,보현산댐 출렁다리,120,"관광,명소"
경상도,93,죽변해안스카이레일,308,"관광,명소"
경상도,94,구룡포일본인가옥거리,501,테마거리
경상도,95,이가리 닻전망대,510,전망대
경상도,96,경북천년숲정원,171,"관광,명소"
경상도,97,울릉도,86,섬
경상도,98,속리산국립공원,29,국립공원
경상도,99,등기산스카이워크,198,전망대
경상도,100,백암온천관광특구,3,관광단지
경상도,101,용암온천탕,0,온천
경상도,102,경주문무대왕릉,263,"릉,묘,총"
경상도,103,성류굴,157,동굴
경상도,104,와인터널,473,"관광,명소"
경상도,105,관봉석조여래좌상,97,"불상,석불"
경상도,106,국립백두대간수목원,206,"수목원,식물원"
경상도,107,병산서원,315,서원
경상도,108,가산수피아,385,테마파크
경상도,109,호미곶 해맞이광장,200,광장
경상도,110,청도프로방스포토랜드,112,테마파크
경상도,111,문경종합온천,24,온천
경상도,112,월포해수욕장,15,"해수욕장,해변"
경상도,113,화랑의언덕,150,"관광,명소"
경상도,114,고래불해수욕장,48,"해수욕장,해변"
경상도,115,소수서원,83,서원
경상도,116,경주동궁원,328,"수목원,식물원"
경상도,117,만휴정,287,문화유적
경상도,118,오류고아라해변,13,"해수욕장,해변"
경상도,119,청송얼음골,224,"관광,명소"
경상도,120,주산저수지,98,저수지
경상도,121,경주루지월드,886,유원지
경상도,122,칠포해수욕장,18,"해수욕장,해변"
경상도,123,독도,103,섬
경상도,124,국립칠곡숲체원,31,자연휴양림
경상도,125,문경에코월드,332,테마파크
경상도,126,연오랑세오녀테마공원,97,테마파크
경상도,127,천마총,70,"릉,묘,총"
경상도,128,안동댐 인증센터,11,자전거여행
경상도,129,장사해수욕장,21,"해수욕장,해변"
경상도,130,금오랜드,142,테마파크
경상도,131,반곡지,218,저수지
경상도,132,포항송도해수욕장,12,"해수욕장,해변"
경상도,133,청도읍성,108,"산성,성곽"
